Strategy 1,Strategy 2,winner,# cards played,wars
0,0,2,184,11
0,0,1,210,6
0,0,1,394,7
0,0,1,353,3
0,0,2,147,9
0,0,2,186,10
0,0,2,458,36
0,0,1,822,66
0,0,1,114,8
0,0,1,429,35
0,0,1,757,56
0,0,1,596,49
0,0,1,121,9
0,0,2,217,17
0,0,2,262,22
0,0,1,158,18
0,0,1,336,20
0,0,1,461,37
0,0,1,257,19
0,0,2,384,24
0,0,1,753,61
0,0,2,288,22
0,0,2,145,15
0,0,1,127,9
0,0,1,97,7
0,0,1,218,16
0,0,2,329,13
0,0,1,103,11
0,0,2,94,6
0,0,2,128,10
0,0,2,100,6
0,0,2,274,24
0,0,1,243,11
0,0,1,1052,86
0,0,2,132,8
0,0,1,1137,79
0,0,1,474,33
0,0,2,921,2
0,0,2,610,50
0,0,1,79,6
0,0,1,122,10
0,0,2,50,4
0,0,1,145,11
0,0,2,835,71
0,0,1,228,18
0,0,2,326,22
0,0,2,143,7
0,0,2,233,19
0,0,2,916,64
0,0,1,86,6
0,0,2,270,24
0,0,1,985,63
0,0,2,99,7
0,0,1,296,16
0,0,1,155,15
0,0,1,308,21
0,0,2,53,5
0,0,2,637,47
0,0,2,351,27
0,0,2,222,14
0,0,1,274,22
0,0,2,140,12
0,0,2,130,14
0,0,2,502,39
0,0,2,408,32
0,0,2,440,36
0,0,1,582,44
0,0,2,1135,89
0,0,1,197,17
0,0,2,471,45
0,0,2,206,20
0,0,1,70,6
0,0,1,88,6
0,0,1,121,7
0,0,2,329,22
0,0,1,423,35
0,0,1,141,9
0,0,1,342,20
0,0,1,589,43
0,0,1,402,24
0,0,2,300,22
0,0,2,426,28
0,0,1,346,22
0,0,1,350,34
0,0,2,448,24
0,0,2,285,19
0,0,2,259,25
0,0,2,394,32
0,0,1,1239,101
0,0,1,111,7
0,0,2,358,28
0,0,2,181,11
0,0,2,434,34
0,0,2,104,6
0,0,2,91,3
0,0,1,59,5
0,0,1,564,46
0,0,1,170,8
0,0,1,1342,104
0,0,2,303,17
0,0,2,93,9
0,0,2,100,6
0,0,2,338,26
0,0,1,263,15
0,0,1,89,7
0,0,1,498,40
0,0,2,443,25
0,0,2,175,8
